                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     76,              0.0072339,              0.0064851,              0.0028246,                      0,                0.99836,                0.86775,                0.97161,                0.90189,                      1,                0.86918,                0.97212,                0.80893,              0.0040147,              0.0041303,              0.0012714,                      0,                0.00325,                0.00325,                0.00325
                     77,              0.0070589,              0.0064628,              0.0027788,                      0,                0.99809,                0.86786,                0.97276,                0.89678,                0.99973,                0.86929,                0.97383,                0.80527,               0.003946,              0.0039584,              0.0012583,                      0,                0.00316,                0.00316,                0.00316
                     78,              0.0069267,              0.0063287,              0.0027238,                      0,                0.98995,                0.91929,                0.98292,                0.91518,                0.99149,                0.92071,                0.98392,                0.82337,              0.0039016,              0.0040123,              0.0012195,                      0,                0.00307,                0.00307,                0.00307
                     79,              0.0069659,              0.0064162,              0.0027647,                      0,                0.97336,                0.88732,                0.97172,                 0.8995,                0.97493,                0.88875,                0.97272,                0.81102,              0.0043037,              0.0039062,              0.0013517,                      0,                0.00298,                0.00298,                0.00298
                     80,              0.0069045,              0.0062661,              0.0027642,                      0,                0.98223,                0.90785,                0.97285,                0.90067,                0.98377,                0.90927,                0.97348,                0.81923,              0.0044397,              0.0036902,              0.0013419,                      0,                0.00289,                0.00289,                0.00289
                     81,              0.0068597,              0.0063294,              0.0027655,                      0,                0.97943,                 0.9185,                0.97434,                0.90234,                0.98096,                0.91993,                0.97487,                0.81351,              0.0040949,              0.0039034,              0.0012476,                      0,                 0.0028,                 0.0028,                 0.0028
                     82,              0.0067192,              0.0062498,              0.0026378,                      0,                0.99782,                0.86714,                0.96756,                0.89621,                0.99946,                0.86857,                0.96833,                0.80512,              0.0042756,              0.0039087,               0.001333,                      0,                0.00271,                0.00271,                0.00271
                     83,              0.0067921,              0.0062718,              0.0027285,                      0,                0.98495,                0.83429,                 0.9626,                0.89615,                 0.9935,                0.84143,                0.96374,                0.79938,              0.0045116,              0.0040284,              0.0015377,                      0,                0.00262,                0.00262,                0.00262
                     84,              0.0065207,              0.0062253,               0.002693,                      0,                0.97811,                0.86174,                0.96519,                0.89407,                0.97973,                0.86316,                 0.9659,                0.80988,              0.0043901,              0.0038657,              0.0014366,                      0,                0.00253,                0.00253,                0.00253
                     85,              0.0066135,              0.0062452,              0.0026242,                      0,                0.99149,                 0.9156,                0.97783,                0.89826,                0.99304,                0.91702,                0.97885,                0.82131,              0.0043086,              0.0038142,              0.0013991,                      0,                0.00244,                0.00244,                0.00244
                     86,              0.0064992,              0.0062542,              0.0025554,                      0,                0.96261,                0.90108,                0.96748,                0.88716,                 0.9649,                0.90322,                0.96956,                 0.8037,              0.0043355,              0.0039767,              0.0014282,                      0,                0.00235,                0.00235,                0.00235
                     87,              0.0065674,              0.0063187,              0.0026853,                      0,                0.99237,                0.84143,                0.96627,                0.88579,                0.99406,                0.84286,                0.96898,                0.81094,              0.0045616,              0.0040698,              0.0015251,                      0,                0.00226,                0.00226,                0.00226
                     88,              0.0065407,               0.006232,              0.0025767,                      0,                0.97441,                0.84298,                0.96615,                0.89112,                0.98266,                0.83857,                0.96719,                0.81456,                0.00437,               0.003922,              0.0015402,                      0,                0.00217,                0.00217,                0.00217
                     89,              0.0064004,              0.0061204,              0.0025839,                      0,                0.98381,                0.82489,                0.96034,                0.88496,                0.99132,                0.82571,                0.96274,                0.79986,              0.0047377,              0.0040128,              0.0016011,                      0,                0.00208,                0.00208,                0.00208
                     90,              0.0064308,              0.0062024,              0.0026014,                      0,                0.92747,                0.90357,                0.97206,                0.89066,                0.93498,                0.91421,                0.97467,                0.81621,              0.0043374,              0.0038322,              0.0014411,                      0,                0.00199,                0.00199,                0.00199
                     91,              0.0063619,              0.0060713,              0.0025213,                      0,                0.99499,                0.85174,                0.96956,                0.90556,                0.99666,                0.85317,                0.97018,                0.82227,              0.0041203,              0.0038436,              0.0013195,                      0,                 0.0019,                 0.0019,                 0.0019
                     92,              0.0062283,              0.0060827,              0.0024737,                      0,                0.99072,                0.85786,                0.96997,                0.90505,                0.99237,                0.85929,                0.97172,                0.81269,               0.003988,              0.0039044,              0.0012817,                      0,                0.00181,                0.00181,                0.00181
                     93,              0.0062906,              0.0060946,              0.0025296,                      0,                0.98394,                0.84857,                0.96419,                 0.8945,                 0.9856,                   0.85,                0.96548,                0.81421,              0.0041254,              0.0038041,              0.0013832,                      0,                0.00172,                0.00172,                0.00172
                     94,               0.006271,               0.006048,              0.0025245,                      0,                0.99541,                0.83929,                0.96223,                0.88691,                0.97996,                0.86071,                0.96674,                0.81577,              0.0040638,              0.0037346,              0.0013606,                      0,                0.00163,                0.00163,                0.00163
                     95,              0.0062055,              0.0061351,              0.0025555,                      0,                0.99017,                   0.86,                0.96373,                0.89196,                 0.9918,                0.86342,                0.96944,                0.81684,              0.0039353,              0.0037876,              0.0012553,                      0,                0.00154,                0.00154,                0.00154
                     96,              0.0061791,               0.006088,              0.0024677,                      0,                0.99732,                0.86571,                0.96952,                0.90398,                0.99897,                0.86714,                0.97598,                0.82065,              0.0038699,              0.0038603,              0.0012304,                      0,                0.00145,                0.00145,                0.00145
                     97,              0.0061853,              0.0059946,              0.0024512,                      0,                0.99793,                   0.84,                0.95868,                0.88293,                0.99963,                0.84143,                0.96525,                0.81117,              0.0042259,              0.0038661,              0.0013814,                      0,                0.00136,                0.00136,                0.00136
                     98,              0.0059724,              0.0059948,              0.0024724,                      0,                0.98495,                0.85786,                0.95792,                0.88468,                0.98659,                0.85929,                0.96422,                0.81604,              0.0041914,               0.003848,              0.0013367,                      0,                0.00127,                0.00127,                0.00127
                     99,               0.005979,               0.005995,              0.0024649,                      0,                0.99018,                0.86385,                0.96246,                0.88999,                0.99181,                0.86527,                0.96891,                0.82099,                0.00399,              0.0038569,              0.0012703,                      0,                0.00118,                0.00118,                0.00118
                    101,                   0.99,                0.91953,                0.98293,                0.91524,                0.99154,                0.92096,                0.98391,                 0.8233,              0.0039032,              0.0040121,              0.0012195,                      0
